ID;_AD:Andorra;_AU:Australia;_BE:Belgium;_CA:Canada;_CH:Switzerland;_CY:Cyprus;_DE:Germany;_DK:Denmark;_EE:Estonia;_ES:Spain;_FI:Finland;_FO:Faeroe Islands;_FR:France;_GB:United Kingdom;_GL:Greenland;_GR:Greece;_IE:Ireland;_IS:Iceland;_IT:Italy;_JP:Japan;_LI:Liechtenstein;_LU:Luxembourg;_MT:Malta;_NL:Netherlands;_NO:Norway;_NZ:New Zealand;_PT:Portugal;_SE:Sweden;_SI:Slovenia;_SK:Slovakia;_SM:San Marino;_US:United States;_AT:Austria;_VA:Vatican City State
AT:Austria;16,564;72,999;1537,651;462,289;3173,685;1724,724;25501,539;289,665;36,998;7829,349;1224,748;0;5191,554;12321,914;0;137,948;2969,829;5,931;5502,89;21,39;345,793;6640,288;451,01;5619,405;227,147;10,438;450,029;668,523;2824,571;4171,461;0;6528,614;0;0,03
AU:Australia;0,952;0;690,16;1367,054;737,212;4,876;1885,135;79,841;0,416;83,222;11,931;0;2471,994;45681,402;0;39,011;4245,409;0,004;11,93;5193,23;0,001;659,229;6,182;1295,779;320,338;5166,732;4,173;193,394;0,542;0,004;0;25448,873;8,449;0
BE:Belgium;0,291;892,325;0;1129,555;2675,578;288,499;7947,368;988,189;3,256;7583,103;678,416;0,001;18570,411;31166,718;0;210,206;10819,417;46,703;7153,335;2267,127;-10,051;17859,923;112,092;23384,801;1171,928;42,872;359,124;1372,157;94,589;1034,132;0,057;12308,741;1729,605;0,058
BR:Brazil;0;0;0;0;0;0;0;0;0;1054;0;0;0;0;0;0;0;0;0;0;0;671;0;70;0;0;0;0;0;0;0;902;43;0
CA:Canada;0;1787,503;0;0;564,947;0;4303,978;258,866;0;0;364,847;0,053;3012,001;10461,886;0;0,8;10036,046;0,105;0;11643,022;0;5610,249;0;1205,187;0;0;2,17;786,944;0;0;0;207294,075;100,614;0
CH:Switzerland;134,147;970,276;2036,292;3997,883;0;4300,583;16707,433;1088,031;44,551;2719,487;593,643;0;20239,225;22028,466;0,001;1164,444;2839,306;17,468;3905,467;1611,56;0;13233,13;1475,409;8172,713;718,005;818,357;678,624;2035,131;88,782;216,417;6,611;100679,72;3217,685;319,959
CL:Chile;0;0;0,437;0;0;0,059;29,969;0;0,005;0,446;0;0;180,899;19,065;0;0;2,601;0;0,137;3,718;0;0;0;0,209;0;0;0;0;0;0;0;404,977;0;0
DE:Germany;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DK:Denmark;1,158;311,262;1257,299;221,919;2982,916;77,026;3423,692;0;18,449;1731,787;2094,053;476,187;9408,263;12207,78;647,19;57,958;1690,712;27,457;294,984;335,13;20,39;6023,88;20,512;2241,304;1948,437;16,556;233,914;10711,364;35,808;186,92;1,697;5450,094;1189,878;0
ES:Spain;463,766;221,049;1479,588;1425,517;3148,859;71,958;16500,998;445,749;24,622;0;276,931;0,488;15618,41;33885,625;0,039;125,62;6018,1;40,785;47607,315;375,592;1,516;5836,739;112,133;21594,146;537,259;34,739;14354,338;421,13;54,042;76,224;0,001;40615,742;1203,76;0
