ID;_AD:Andorra;_AU:Australia;_BE:Belgium;_CA:Canada;_CH:Switzerland;_CY:Cyprus;_DE:Germany;_DK:Denmark;_EE:Estonia;_ES:Spain;_FI:Finland;_FO:Faeroe Islands;_FR:France;_GB:United Kingdom;_GL:Greenland;_GR:Greece;_IE:Ireland;_IS:Iceland;_IT:Italy;_JP:Japan;_LI:Liechtenstein;_LU:Luxembourg;_MT:Malta;_NL:Netherlands;_NO:Norway;_NZ:New Zealand;_PT:Portugal;_SE:Sweden;_SI:Slovenia;_SK:Slovakia;_SM:San Marino;_US:United States;_AT:Austria;_VA:Vatican City State
FI:Finland;0;7,434;636,217;226,002;97,867;89,419;5255,71;125,853;459,012;99,084;0;0;1614,417;1787,969;0;1,377;244,866;0,153;159,762;0;0;1204,812;0,867;1021,695;738,642;0;63,46;1882,327;5,285;21,313;0;0;625,427;0
FR:France;35;6159;36118;10544;21530;1212;6771;2673;45;38368;4237;1;0;143337;0;743;25145;196;42427;121350;95;87562;1132;62334;8133;286;7693;6066;498;393;1;132134;7196;0
GB:United Kingdom;6;18567;17153;22013;29737;6212;110020;5527;7;25355;11614;-3;115048;0;4;8991;115017;183;18651;101919;409;124569;790;131539;9709;468;3065;21000;530;253;0;693739;13208;0
GG:Guernsey;0;91,337;94,756;42,022;332,668;42,949;647,977;23,791;0;18,455;86,876;0;450,94;7366,361;0;11,496;115,169;1,065;22,546;140,32;42,286;940,599;40,809;1755,994;82,486;31,243;0,039;38,447;1,138;0;0;23045,27;38,167;0
GR:Greece;0;0;117;10;41;1851;205;9;0;631;1;0;382;19675;0;0;895;0;611;0;0;12580;175;1598;0;0;2;5;2;0;0;273;167;0
HK:Hong Kong SAR;265,173;16176,44;500,64;7228,041;980,41;130,218;10487,964;83,227;0;207,298;430,474;0;10039,181;31288,348;0;47,119;3388,604;0;65,813;44094,494;6,658;3453,777;184,251;4493,598;932,138;3383,995;0,896;423,816;0,384;5,634;0,896;69697,567;164,533;0,768
IE:Ireland;0;1392,72;3948,092;2270,604;1757,105;187,776;11158,318;350,228;25,725;8117,872;436,948;0,092;7884,321;33630,422;0,015;27,692;0;96,168;15439,22;3486,494;1,775;4011,07;180,841;5582,206;1004,556;43,957;821,32;167,28;50,447;373,572;0;18837,668;1296,848;0,191
IM:Isle of Man;1,299;20,994;5,825;8,987;74,917;13,67;15,14;0,695;0;52,791;0;0;30,177;2059,131;0,063;6,924;45,283;0,113;12,918;19,69;0,627;1,583;2,181;20,577;1,407;16,129;2,963;1,353;0;3,602;0,075;613,786;4,468;0,023
IT:Italy;0;181,093;1564,111;375,351;1685,258;545,533;16051,611;276,059;0;33562,787;198,119;0;24452,289;31528,962;0;150,66;4392,822;0;0;321,26;5,422;21396,227;216,16;6088,738;345,263;80,15;1800,597;258,926;137,732;713,942;167,611;22060,572;1226,067;0
JE:Jersey;0;52;48;28;280;37;421;52;0;12;153;0;690;5241;0;18;36;0;23;40;0;972;20;1038;83;3;4;122;0;0;0;1866;38;0
JP:Japan;0;65268,372;15207,883;31625,805;18909,75;0;67203,042;7449,291;0,1;16704,955;3367,505;0;113067,163;102221,099;0;114,049;39210,222;205,415;24617,891;0;0;69938,706;0;49431,252;3906,961;3966,21;452,251;9098,506;112,384;39,574;0;912739,046;3319,407;0
KR:South Korea;0;3542,522;208,164;1585,044;71,692;224,66;1426,758;22,749;4,231;239,626;13,82;0;724,627;1086,237;0,036;371,975;625,115;1,901;265,081;1087,346;0;375,476;204,351;297,704;11,641;77,628;101,571;127,441;209,408;493,537;0,048;13958,8;55,782;0
LU:Luxembourg;34,056;581,752;7451,833;2138,992;4792,064;770,381;50847,542;995,765;12,244;7602,235;1324,786;0,29;32800,165;14010,32;23,795;480,988;4340,839;5,236;12965,316;1374,093;166,199;0;482,548;15933,634;1087,794;168,56;2036,331;1600,123;124,411;384,598;1,77;26736,922;3894,115;0
MO:Macao SAR;0,918;222,56;0,022;194,616;0;0,013;41,887;0,036;0,318;38,862;0;0;36,644;397,458;0;0,022;27;0;0;9,471;0,073;396,516;0;322,333;0;0,252;35,309;0;0;0;0,014;2378,688;0;0
MX:Mexico;0;0;0;17,88;6,073;0;0,005;0;0;509,864;0;0;42,371;82,528;0;0;0,433;0;0,006;0;0;122,272;0;48,062;0;0;67,973;0;0;0;0;5331,256;0,001;0
NL:Netherlands;3,542;3169,911;20035,963;2360,019;16099,842;999,968;39861,778;2107,371;0;6063,562;9142,566;0;34030,795;60870,555;0;669,4;0;0;6263,083;2792,119;0;26942,473;665,858;0;2396,618;0;1812,221;3845,214;94,448;132,227;0;0;7826,197;0
PH:Philippines;0;21,29;0,009;6,086;35,997;0,017;17,149;0,717;0,107;0,862;0,133;0;0,894;89,804;0;0,383;1,329;0,018;3,786;806,169;0;1,038;0,016;324,936;5,985;33,027;0,309;0,277;0,015;0,047;0;2227,401;1,831;0
SE:Sweden;0;314,881;1236,337;241,72;1092,2;689,211;7797,2;26276,938;1249,279;1562,233;11917,711;21,389;2351,718;24725,557;20,502;34,031;584,794;0;431,878;1996,705;0,009;4867,311;411,21;3572,442;11367,671;2,643;47,187;0;0,002;0,267;0;7168,353;72,913;0
TW:Chinese Taipei;0,012;2337,91;28,907;478,503;186,826;0,074;1078,162;10,067;0,21;140,485;107,925;0;1230,625;3188,206;0;0,647;7132,949;0,269;248,945;1298,121;0;49309,453;44,985;3070,895;253,609;296,373;16,576;61,587;0,001;0,163;0;27241,075;71,193;0
US:United States;0;22581;1722;83281;5896;360;4283;750;11;829;209;0;4403;382236;0;204;22752;95;1758;97588;0;26533;292;36145;661;979;417;1903;15;18;0;0;2468;0
ZA:South Africa;0;359;6;157;195;39;57;0;0;88;0;0;35;2942;0;0;314;0;29;254;0;124;120;461;1;1;26;9;0;0;0;592;35;8
